,City,Clouds,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
225,Bima,53,ID,1565641529,94,-8.45,118.73,67.58,2.04
226,Lorengau,30,PG,1565641529,82,-2.02,147.27,78.2,3.09
227,Victoria,75,BN,1565641529,83,5.28,115.24,80.01,2.24
228,Kralendijk,75,BQ,1565641511,66,12.15,-68.27,87.8,19.46
229,Morehead,1,US,1565641530,58,38.18,-83.43,87.01,4.7
230,Inirida,31,CO,1565641530,63,3.87,-67.92,85.77,3.06
231,Tura,90,RU,1565641530,80,64.27,100.22,48.87,5.39
232,Lompoc,1,US,1565641531,68,34.64,-120.46,84.2,10.29
233,Daru,100,PG,1565641531,92,-9.07,143.21,72.62,7.34
234,Haines Junction,31,CA,1565641531,39,60.75,-137.51,65.6,0.4
235,Pallasovka,0,RU,1565641532,66,50.04,46.89,58.22,10.33
236,Zavodouspenskoye,20,RU,1565641532,93,56.86,65.02,64.0,6.71
237,Salekhard,99,RU,1565641532,90,66.54,66.62,42.92,11.07
238,Portland,40,US,1565641434,51,43.66,-70.25,84.99,10.29
239,Turukhansk,55,RU,1565641533,90,65.8,87.96,43.1,2.66
240,Aswan,2,EG,1565641533,16,24.09,32.9,82.52,0.83
241,Klaebu,75,NO,1565641533,87,63.3,10.48,55.4,18.34
242,Tasiilaq,0,GL,1565641534,70,65.61,-37.64,46.4,9.17
243,Lashio,100,MM,1565641534,99,22.93,97.75,70.28,0.6
244,Tuktoyaktuk,90,CA,1565641534,79,69.44,-133.03,37.4,17.22
245,Mersing,100,MY,1565641535,92,2.43,103.84,74.97,1.14
246,Otjiwarongo,0,NA,1565641535,19,-20.46,16.65,71.6,3.36
247,General Roca,75,AR,1565641535,70,-39.03,-67.58,46.4,3.36
248,Marawi,84,PH,1565641537,84,8.0,124.29,73.99,5.01
249,Deputatskiy,0,RU,1565641537,62,69.3,139.9,53.18,3.24
250,Iqaluit,20,CA,1565641537,31,63.75,-68.52,64.4,13.87
251,Melilla,75,EC,1565641538,78,-0.8,-80.23,75.2,9.17
252,Dezful,0,IR,1565641538,12,32.38,48.4,94.94,5.08
253,Guerrero Negro,0,MX,1565641538,84,27.97,-114.04,65.24,14.03
254,Redlands,5,US,1565641305,24,34.06,-117.19,97.0,6.93
255,Humaita,0,AR,1565641539,26,-24.93,-65.37,75.2,16.11
256,Taltal,0,CL,1565641541,43,-25.41,-70.49,66.5,2.42
257,Jiuquan,38,CN,1565641541,37,39.73,98.49,66.68,3.87
258,Ponta Delgada,20,PT,1565641542,78,37.73,-25.67,71.6,5.82
259,Krasnohrad,0,UA,1565641542,61,49.38,35.45,65.6,6.87
260,Along,21,IN,1565641542,88,28.17,94.8,59.12,6.96
261,Korgen,75,NO,1565641543,87,66.08,13.83,60.8,5.82
262,Hobart,20,AU,1565641543,86,-42.88,147.33,48.0,1.12
263,Bonita Springs,90,US,1565641543,88,26.35,-81.82,86.0,10.29
264,Saint George,0,GR,1565641544,31,39.45,22.34,78.8,1.7
265,Hay River,75,CA,1565641544,36,60.82,-115.79,75.2,13.87
266,Rock Springs,1,US,1565641417,23,41.59,-109.2,73.4,21.92
267,Buluang,90,PH,1565641545,74,10.47,123.98,80.6,10.29
268,Axim,1,GH,1565641545,88,4.87,-2.24,74.24,8.61
269,Bubaque,100,GW,1565641545,83,11.28,-15.83,79.1,13.65
270,Mandalgovi,0,MN,1565641545,67,45.76,106.27,53.9,4.79
271,Isiro,1,CD,1565641546,98,2.77,27.62,67.04,1.45
272,Payo,78,ID,1565641546,88,-3.75,103.64,66.32,3.11
273,Chimbote,3,PE,1565641546,87,-9.08,-78.59,60.2,12.46
274,Buyukcavuslu,0,TR,1565641546,78,41.24,28.06,78.01,19.46
275,Ahuimanu,40,US,1565641547,66,21.44,-157.84,90.0,12.75
276,Antofagasta,0,CL,1565641342,67,-23.65,-70.4,66.99,8.05
277,Anadyr,90,RU,1565641547,100,64.73,177.51,50.0,13.42
278,Te Anau,77,NZ,1565641548,73,-45.41,167.72,42.38,11.68
279,Buenos Aires,75,AR,1565641216,58,-34.61,-58.44,55.0,9.17
280,Voh,99,NC,1565641548,73,-20.95,164.69,70.1,12.71
281,Kieta,0,PG,1565641550,76,-6.22,155.63,79.64,5.59
282,Severo-Kurilsk,100,RU,1565641550,89,50.68,156.12,50.84,15.08
283,Vestmannaeyjar,2,IS,1565641552,76,63.44,-20.27,48.14,29.84
284,Bronnoysund,75,NO,1565641554,100,65.46,12.2,60.8,4.7
285,Yar-Sale,100,RU,1565641555,92,66.83,70.83,45.98,19.35
286,Araceli,82,PH,1565641555,96,10.55,119.99,74.97,2.37
287,Smoky Lake,100,CA,1565641444,73,54.11,-112.47,64.0,1.01
288,Baker City,1,US,1565641556,33,44.77,-117.83,77.0,4.7
289,Fortuna,0,ES,1565641557,78,38.18,-1.13,80.01,17.22
290,Palmerston,0,AU,1565641558,18,-12.49,130.99,68.0,8.05
291,Palmer,20,AU,1565641558,93,-34.85,139.16,39.99,2.24
292,Malgobek,35,RU,1565641558,49,43.51,44.59,65.07,3.69
293,Cap Malheureux,40,MU,1565641559,68,-19.98,57.61,72.0,12.75
294,Krasnoborsk,0,RU,1565641559,83,61.56,45.93,40.22,2.55
295,Kanina,0,CD,1565641559,37,-10.73,25.47,62.0,4.85
296,Port Hedland,90,AU,1565641560,30,-20.31,118.58,68.0,9.17
297,Seoul,90,KR,1565641560,94,37.57,126.98,80.6,3.36
298,Maningrida,0,AU,1565641560,58,-12.05,134.23,55.7,9.91
299,Penzance,75,GB,1565641561,82,50.12,-5.53,62.01,10.29
300,Otane,0,NZ,1565641561,89,-39.89,176.62,46.0,13.0
301,Pendra,100,IN,1565641561,91,22.77,81.96,73.7,6.06
302,Iskateley,0,RU,1565641562,80,67.68,53.15,39.87,9.84
303,Nouakchott,40,MR,1565641562,78,18.08,-15.98,78.8,13.87
304,Tuatapere,99,NZ,1565641562,86,-46.13,167.69,45.0,13.0
305,Drayton Valley,100,CA,1565641563,77,53.22,-114.98,60.74,2.28
306,Jalu,0,LY,1565641563,37,29.03,21.55,82.7,15.1
307,Klaksvik,5,FO,1565641563,93,62.23,-6.59,50.0,6.93
308,Beringovskiy,100,RU,1565641564,97,63.05,179.32,47.07,3.49
309,Chesapeake,40,US,1565641395,45,36.72,-76.25,91.0,4.63
310,Outjo,0,NA,1565641564,19,-20.11,16.16,71.6,3.36
311,Ojinaga,40,US,1565641565,20,29.56,-104.41,102.2,13.87
312,Sindou,41,BF,1565641565,92,10.66,-5.16,74.42,4.34
313,Abu Dhabi,0,AE,1565641425,67,24.47,54.37,93.2,2.24
314,Ipixuna,0,BR,1565641566,74,-1.76,-48.8,86.0,11.41
315,Luderitz,0,NA,1565641566,67,-26.65,15.16,57.2,14.99
316,Tianpeng,0,CN,1565641566,76,28.88,112.34,78.38,1.19
317,Juan Diaz,75,PA,1565641567,74,8.47,-80.28,84.2,10.29
318,Pangnirtung,20,CA,1565641567,81,66.15,-65.72,51.8,10.29
319,Necochea,99,AR,1565641567,65,-38.55,-58.74,44.01,13.0
320,Soyo,20,AO,1565641302,78,-6.13,12.37,75.2,3.36
321,Plattsburgh,75,US,1565641568,57,44.69,-73.46,82.99,4.7
322,Palana,98,RU,1565641568,93,59.08,159.95,50.84,1.34
323,Banjar,97,ID,1565641568,93,-7.37,108.54,70.28,1.14
324,Villarrobledo,5,ES,1565641569,23,39.27,-2.6,71.01,1.99
325,Ladushkin,75,RU,1565641569,93,54.57,20.17,64.4,2.24
326,Pevek,36,RU,1565641569,92,69.7,170.27,35.37,22.93
327,Mehamn,90,NO,1565641570,100,71.03,27.85,46.4,8.05
328,Dauphin,75,CA,1565641570,59,51.15,-100.04,66.2,8.05
329,Nazca,0,PE,1565641570,36,-14.83,-74.94,74.24,7.63
330,Sur,96,OM,1565641571,53,22.57,59.53,85.4,5.97
331,Tiksi,49,RU,1565641571,62,71.64,128.87,51.57,6.6
332,Micheweni,30,TZ,1565641571,80,-4.97,39.83,76.94,14.83
333,Ullapool,53,GB,1565641572,94,57.9,-5.16,52.0,12.06
334,Cherskiy,0,RU,1565641572,61,68.75,161.3,46.88,22.53
335,Kulhudhuffushi,100,MV,1565641572,75,6.62,73.07,82.52,18.21
336,La Ronge,75,CA,1565641572,43,55.1,-105.3,69.8,2.24
337,Bela Vista de Goias,0,BR,1565641573,22,-16.97,-48.95,87.8,4.7
338,Baruun-Urt,94,MN,1565641573,86,46.68,113.28,53.9,12.71
339,Russell,1,US,1565641574,58,38.9,-98.86,87.8,3.36
340,Vila Franca do Campo,20,PT,1565641574,78,37.72,-25.43,71.6,5.82
341,Kaura Namoda,0,NG,1565641574,75,12.59,6.58,77.84,6.87
342,Basco,40,US,1565641575,74,40.33,-91.2,87.8,3.36
343,Coquimbo,0,CL,1565641575,45,-29.95,-71.34,64.4,10.29
344,Shonguy,40,RU,1565641575,58,68.75,33.15,57.2,8.95
345,Kirakira,100,SB,1565641575,78,-10.46,161.92,79.47,3.06
346,Inhambane,0,MZ,1565641576,88,-23.87,35.38,73.4,11.41
347,College,20,US,1565641576,67,64.86,-147.8,69.01,5.46
348,Ayan,0,IR,1565641576,64,38.23,44.7,59.48,3.33
349,Mount Gambier,90,AU,1565641577,100,-37.83,140.78,42.8,8.05
350,Lishui,0,CN,1565641577,92,28.45,119.91,70.82,1.12
351,Smyrna,1,US,1565641578,49,35.98,-86.52,96.01,6.24
352,Graz,0,AT,1565641306,65,47.07,15.44,80.6,2.24
353,Salamanca,75,MX,1565641578,50,20.57,-101.19,80.01,8.05
354,Lebu,75,ET,1565641579,82,8.96,38.73,59.0,5.82
355,Marzuq,100,YE,1565641579,28,14.4,46.47,83.42,4.88
356,Ust-Nera,100,RU,1565641583,65,64.57,143.24,53.0,5.37
357,Thinadhoo,100,MV,1565641584,77,0.53,72.93,82.7,12.57
358,Gawler,20,AU,1565641585,93,-34.6,138.75,39.99,2.24
359,Hamilton,75,CA,1565641379,57,43.26,-79.87,84.2,14.99
360,Ust-Koksa,8,RU,1565641585,78,50.27,85.62,43.47,4.99
361,Banda Aceh,98,ID,1565641563,84,5.56,95.32,79.47,25.19
362,Coihaique,75,CL,1565641586,60,-45.58,-72.07,46.4,2.19
363,Unisan,2,PH,1565641586,75,13.84,121.98,84.0,3.0
364,Devils Lake,90,US,1565641586,82,48.11,-98.87,60.8,9.17
365,Salemi,0,IT,1565641587,65,37.82,12.8,86.0,8.05
366,Mehran,0,IR,1565641587,23,33.12,46.17,84.2,2.24
367,Hambantota,87,LK,1565641587,79,6.12,81.12,80.9,21.39
368,Northam,90,AU,1565641338,93,-31.65,116.67,53.6,5.82
369,Nikolskoye,90,RU,1565641588,88,59.7,30.79,64.4,11.18
370,Ketchikan,40,US,1565641588,60,55.34,-131.65,73.4,12.75
371,Khorramshahr,40,IR,1565641588,30,30.43,48.18,98.6,4.7
372,Yelizovo,100,RU,1565641588,100,53.19,158.38,55.4,4.47
373,Sao Jose da Coroa Grande,1,BR,1565641589,88,-8.9,-35.15,69.38,4.59
374,Kaitangata,56,NZ,1565641589,62,-46.28,169.85,46.99,13.0
375,Mayo,90,CA,1565641589,55,63.59,-135.9,60.8,5.82
